Date,Campaign,Channel,Category,IsHoliday,HolidayName,Season,Spend,Clicks,Impressions,Conversions,ConversionValue,CTR,CPC,ConvRate,CPA,ROAS,Profit,AnalysisStartDate,AnalysisEndDate
2026-01-31,Demo Campaign 020,Demo Channel 003,Demo Category 010,0,,Winter,30.153077,4,1040,0.0,0.0,0.0038461538461538,7.53826925,0.0,0.0,0.0,-30.153077,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 020,Demo Channel 003,Demo Category 012,0,,Winter,57.497228,8,2367,0.0,0.0,0.0033798056611744,7.1871535,0.0,0.0,0.0,-57.497228,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 007,Demo Channel 001,Demo Category 004,0,,Winter,49.894329,15,36,0.0,0.0,0.4166666666666667,3.3262886,0.0,0.0,0.0,-49.894329,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 007,Demo Channel 001,Demo Category 003,0,,Winter,92.89,25,65,0.0,0.0,0.3846153846153846,3.7156,0.0,0.0,0.0,-92.89,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 007,Demo Channel 001,Demo Category 014,0,,Winter,397.309481,131,498,1.0,999.9,0.2630522088353413,3.032896801526717,0.0076335877862595,397.309481,2.516677924431408,602.590519,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 007,Demo Channel 001,Demo Category 005,0,,Winter,89.328519,26,74,2.0,3799.8,0.3513513513513513,3.4357122692307693,0.0769230769230769,44.6642595,42.53736704176188,3710.471481,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 007,Demo Channel 001,Demo Category 015,0,,Winter,115.86,31,92,2.0,3199.8,0.3369565217391304,3.7374193548387096,0.064516129032258,57.93,27.61781460383221,3083.94,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 001,Demo Channel 001,Demo Category 004,0,,Winter,28.37,7,21,0.0,0.0,0.3333333333333333,4.052857142857143,0.0,0.0,0.0,-28.37,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 001,Demo Channel 001,Demo Category 003,0,,Winter,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 001,Demo Channel 001,Demo Category 001,0,,Winter,264.114031,85,300,0.0,0.0,0.2833333333333333,3.1072238941176478,0.0,0.0,0.0,-264.114031,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 014,Demo Channel 001,Demo Category 023,0,,Winter,61.53,13,116,0.0,0.0,0.1120689655172413,4.733076923076923,0.0,0.0,0.0,-61.53,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 014,Demo Channel 001,Demo Category 007,0,,Winter,78.613325,15,88,0.0,0.0,0.1704545454545454,5.240888333333333,0.0,0.0,0.0,-78.613325,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 012,Demo Channel 001,Demo Category 014,0,,Winter,5.44,4,8,0.0,0.0,0.5,1.36,0.0,0.0,0.0,-5.44,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 012,Demo Channel 001,Demo Category 005,0,,Winter,15.62,4,6,0.0,0.0,0.6666666666666666,3.905,0.0,0.0,0.0,-15.62,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 012,Demo Channel 001,Demo Category 015,0,,Winter,0.69,1,2,0.0,0.0,0.5,0.69,0.0,0.0,0.0,-0.69,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 009,Demo Channel 001,Demo Category 014,0,,Winter,83.98,10,66,0.0,0.0,0.1515151515151515,8.398,0.0,0.0,0.0,-83.98,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 009,Demo Channel 001,Demo Category 005,0,,Winter,39.48,6,27,0.0,0.0,0.2222222222222222,6.579999999999999,0.0,0.0,0.0,-39.48,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 009,Demo Channel 001,Demo Category 015,0,,Winter,44.94,6,26,0.0,0.0,0.2307692307692307,7.489999999999999,0.0,0.0,0.0,-44.94,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 006,Demo Channel 001,Demo Category 004,0,,Winter,8.96,1,8,0.0,0.0,0.125,8.96,0.0,0.0,0.0,-8.96,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 006,Demo Channel 001,Demo Category 003,0,,Winter,108.2,20,63,0.0,0.0,0.3174603174603174,5.41,0.0,0.0,0.0,-108.2,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 006,Demo Channel 001,Demo Category 014,0,,Winter,60.62,17,91,0.0,0.0,0.1868131868131868,3.5658823529411765,0.0,0.0,0.0,-60.62,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 006,Demo Channel 001,Demo Category 005,0,,Winter,28.83,11,38,0.0,0.0,0.2894736842105263,2.62090909090909,0.0,0.0,0.0,-28.83,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 006,Demo Channel 001,Demo Category 015,0,,Winter,50.61,5,51,0.0,0.0,0.0980392156862745,10.122,0.0,0.0,0.0,-50.61,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 006,Demo Channel 001,Demo Category 001,0,,Winter,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 010,Demo Channel 001,Demo Category 014,0,,Winter,27.05,9,17,0.0,0.0,0.5294117647058824,3.0055555555555555,0.0,0.0,0.0,-27.05,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 010,Demo Channel 001,Demo Category 005,0,,Winter,190.399622,45,305,0.0,0.0,0.1475409836065573,4.231102711111111,0.0,0.0,0.0,-190.399622,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 003,Demo Channel 001,Demo Category 013,0,,Winter,1137.459458,865,2226,27.176681,57370.933713858,0.3885893980233603,1.3149820323699422,0.0314181283236994,41.85424474754662,50.43778335162254,56233.474255858,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 003,Demo Channel 001,Demo Category 017,0,,Winter,15.71,8,96,0.0,0.0,0.0833333333333333,1.96375,0.0,0.0,0.0,-15.71,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 003,Demo Channel 001,Demo Category 031,0,,Winter,1.95,1,34,0.0,0.0,0.0294117647058823,1.95,0.0,0.0,0.0,-1.95,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 003,Demo Channel 001,Demo Category 002,0,,Winter,46.143472,25,76,0.0,0.0,0.3289473684210526,1.84573888,0.0,0.0,0.0,-46.143472,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 013,Demo Channel 001,Demo Category 024,0,,Winter,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-31,2026-07-29
2026-01-31,Demo Campaign 013,Demo Channel 001,Demo Category 021,0,,Winter,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-31,2026-07-29
