Month,Campaign,Channel,Category,Season,Spend,Clicks,Impressions,Conversions,ConversionValue,CTR,CPC,ConvRate,CPA,ROAS,Profit,AnalysisStartDate,AnalysisEndDate
2026-01,Demo Campaign 020,Demo Channel 003,Demo Category 010,Winter,2163.175318,257,93419,0.0,0.0,0.0027510463610186,8.417024583657588,0.0,0.0,0.0,-2163.175318,2026-01-01,2026-01-31
2026-01,Demo Campaign 020,Demo Channel 003,Demo Category 012,Winter,3194.860116,395,135934,0.0,0.0,0.0029058219430017,8.088253458227848,0.0,0.0,0.0,-3194.860116,2026-01-01,2026-01-31
2026-01,Demo Campaign 007,Demo Channel 001,Demo Category 004,Winter,1898.089474,506,1802,3.20331,5236.622905913,0.2807991120976693,3.751164968379447,0.006330652173913,592.5400520087035,2.7588914946551144,3338.533431913,2026-01-01,2026-01-31
2026-01,Demo Campaign 007,Demo Channel 001,Demo Category 003,Winter,3051.386993,770,2248,12.872802,23186.36333277,0.342526690391459,3.9628402506493514,0.0167179246753246,237.04139883453504,7.598630847532751,20134.97633977,2026-01-01,2026-01-31
2026-01,Demo Campaign 007,Demo Channel 001,Demo Category 014,Winter,20656.239829,5461,21983,104.057497,216648.882041167,0.2484192330437156,3.782501342061893,0.019054659769273,198.5079444011612,10.488302025667142,195992.642212167,2026-01-01,2026-01-31
2026-01,Demo Campaign 007,Demo Channel 001,Demo Category 005,Winter,3964.599321,915,2983,10.446126,23706.96216976,0.3067381830372108,4.332895432786885,0.0114165311475409,379.52819265247234,5.979661562314029,19742.36284876,2026-01-01,2026-01-31
2026-01,Demo Campaign 007,Demo Channel 001,Demo Category 015,Winter,6976.428586,1360,6304,13.148716,29605.308805021,0.215736040609137,5.129726901470589,0.0096681735294117,530.5786957448925,4.243619559789041,22628.880219021,2026-01-01,2026-01-31
2026-01,Demo Campaign 001,Demo Channel 001,Demo Category 004,Winter,260.291004,85,242,0.0,0.0,0.3512396694214876,3.062247105882353,0.0,0.0,0.0,-260.291004,2026-01-01,2026-01-31
2026-01,Demo Campaign 001,Demo Channel 001,Demo Category 003,Winter,377.945101,132,363,4.0,7065.0439996,0.3636363636363636,2.8632204621212125,0.0303030303030303,94.48627525,18.693307522459456,6687.098898599999,2026-01-01,2026-01-31
2026-01,Demo Campaign 001,Demo Channel 001,Demo Category 005,Winter,81.02,27,108,0.0,0.0,0.25,3.0007407407407407,0.0,0.0,0.0,-81.02,2026-01-01,2026-01-31
2026-01,Demo Campaign 001,Demo Channel 001,Demo Category 001,Winter,5571.631681,2122,5712,28.892142,58455.01962812,0.3714985994397759,2.625651122054665,0.0136155240339302,192.84245802889933,10.4915441247596,52883.38794712,2026-01-01,2026-01-31
2026-01,Demo Campaign 014,Demo Channel 001,Demo Category 023,Winter,1738.240841,369,3599,0.0,0.0,0.1025284801333703,4.71067978590786,0.0,0.0,0.0,-1738.240841,2026-01-01,2026-01-31
2026-01,Demo Campaign 014,Demo Channel 001,Demo Category 007,Winter,2185.072182,511,3323,2.018441,3883.04250738,0.1537767077941619,4.276070806262231,0.0039499823874755,1082.554398171658,1.777077452803342,1697.9703253800003,2026-01-01,2026-01-31
2026-01,Demo Campaign 012,Demo Channel 001,Demo Category 004,Winter,125.659728,13,56,0.0,0.0,0.2321428571428571,9.666132923076924,0.0,0.0,0.0,-125.659728,2026-01-01,2026-01-31
2026-01,Demo Campaign 012,Demo Channel 001,Demo Category 003,Winter,442.934666,70,287,0.0,0.0,0.2439024390243902,6.327638085714286,0.0,0.0,0.0,-442.934666,2026-01-01,2026-01-31
2026-01,Demo Campaign 012,Demo Channel 001,Demo Category 014,Winter,1481.858471,177,826,0.0,0.0,0.2142857142857142,8.372081757062148,0.0,0.0,0.0,-1481.858471,2026-01-01,2026-01-31
2026-01,Demo Campaign 012,Demo Channel 001,Demo Category 005,Winter,318.836688,62,280,0.0,0.0,0.2214285714285714,5.142527225806451,0.0,0.0,0.0,-318.836688,2026-01-01,2026-01-31
2026-01,Demo Campaign 012,Demo Channel 001,Demo Category 015,Winter,585.684104,50,327,3.0,7019.58,0.1529051987767584,11.713682080000002,0.06,195.22803466666667,11.985266378341043,6433.895896,2026-01-01,2026-01-31
2026-01,Demo Campaign 012,Demo Channel 001,Demo Category 001,Winter,6.62,2,15,0.0,0.0,0.1333333333333333,3.31,0.0,0.0,0.0,-6.62,2026-01-01,2026-01-31
2026-01,Demo Campaign 009,Demo Channel 001,Demo Category 014,Winter,3015.719955,277,1611,5.0,4799.38,0.1719428926132837,10.887075649819495,0.0180505415162454,603.143991,1.591454137524517,1783.660045,2026-01-01,2026-01-31
2026-01,Demo Campaign 009,Demo Channel 001,Demo Category 005,Winter,1553.542997,210,779,3.83685,8225.886315,0.269576379974326,7.397823795238096,0.0182707142857142,404.9006338532911,5.2949202763520296,6672.343317999999,2026-01-01,2026-01-31
2026-01,Demo Campaign 009,Demo Channel 001,Demo Category 015,Winter,1786.148202,145,944,2.853164,7403.10925148,0.1536016949152542,12.318263462068966,0.0196769931034482,626.0236712646031,4.1447340389731,5616.96104948,2026-01-01,2026-01-31
2026-01,Demo Campaign 006,Demo Channel 001,Demo Category 004,Winter,354.131149,29,159,0.0,0.0,0.1823899371069182,12.211418931034483,0.0,0.0,0.0,-354.131149,2026-01-01,2026-01-31
2026-01,Demo Campaign 006,Demo Channel 001,Demo Category 003,Winter,1997.725924,265,1009,2.37498,3369.548594032,0.2626362735381566,7.53858839245283,0.0089621886792452,841.1548408828706,1.6866921300621815,1371.822670032,2026-01-01,2026-01-31
2026-01,Demo Campaign 006,Demo Channel 001,Demo Category 014,Winter,2178.729628,355,1694,6.973698,13168.8018338,0.2095631641086186,6.137266557746479,0.0196442197183098,312.4209892656665,6.044257013151519,10990.0722058,2026-01-01,2026-01-31
2026-01,Demo Campaign 006,Demo Channel 001,Demo Category 005,Winter,776.970694,145,614,3.0,6719.64,0.2361563517915309,5.358418579310345,0.0206896551724137,258.9902313333333,8.648511522881197,5942.669306000001,2026-01-01,2026-01-31
2026-01,Demo Campaign 006,Demo Channel 001,Demo Category 015,Winter,1516.37691,156,972,1.96943,4044.8187661,0.1604938271604938,9.720364807692308,0.0126245512820512,769.9572515905617,2.667423078936226,2528.4418561,2026-01-01,2026-01-31
2026-01,Demo Campaign 006,Demo Channel 001,Demo Category 001,Winter,166.023228,10,46,0.0,0.0,0.217391304347826,16.6023228,0.0,0.0,0.0,-166.023228,2026-01-01,2026-01-31
2026-01,Demo Campaign 010,Demo Channel 001,Demo Category 003,Winter,40.85,11,37,3.0,4519.56,0.2972972972972973,3.713636363636364,0.2727272727272727,13.616666666666667,110.6379436964504,4478.709999999999,2026-01-01,2026-01-31
2026-01,Demo Campaign 010,Demo Channel 001,Demo Category 014,Winter,849.578274,207,670,1.952462,3997.3739008,0.308955223880597,4.104242869565217,0.0094321835748792,435.1317843829995,4.705127265059982,3147.7956268000003,2026-01-01,2026-01-31
2026-01,Demo Campaign 010,Demo Channel 001,Demo Category 005,Winter,5879.719799,1212,8322,10.079644,24815.7660912,0.1456380677721701,4.851253959570958,0.0083165379537953,583.3261372127826,4.220569506632028,18936.0462922,2026-01-01,2026-01-31
2026-01,Demo Campaign 010,Demo Channel 001,Demo Category 001,Winter,31.848058,6,15,0.0,0.0,0.4,5.308009666666667,0.0,0.0,0.0,-31.848058,2026-01-01,2026-01-31
2026-01,Demo Campaign 003,Demo Channel 001,Demo Category 013,Winter,40518.355176,32657,76795,1019.27529,2251397.067433103,0.4252490396510189,1.240724964816119,0.0312115408641332,39.75212150585932,55.56486825917997,2210878.712257103,2026-01-01,2026-01-31
2026-01,Demo Campaign 003,Demo Channel 001,Demo Category 017,Winter,493.702258,269,3181,2.0,6519.66,0.0845646023263124,1.8353243791821563,0.0074349442379182,246.851129,13.205651573098535,6025.957742,2026-01-01,2026-01-31
2026-01,Demo Campaign 003,Demo Channel 001,Demo Category 031,Winter,157.951725,83,1210,0.0,0.0,0.068595041322314,1.903032831325301,0.0,0.0,0.0,-157.951725,2026-01-01,2026-01-31
2026-01,Demo Campaign 003,Demo Channel 001,Demo Category 002,Winter,1682.851533,1053,3280,31.854378,69063.67756968,0.3210365853658536,1.598149603988604,0.0302510712250712,52.82952104731098,41.03967356321742,67380.82603668001,2026-01-01,2026-01-31
2026-01,Demo Campaign 013,Demo Channel 001,Demo Category 024,Winter,0.0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2026-01,Demo Campaign 013,Demo Channel 001,Demo Category 021,Winter,10.38,6,70,0.0,0.0,0.0857142857142857,1.7299999999999998,0.0,0.0,0.0,-10.38,2026-01-01,2026-01-31
2026-01,Demo Campaign 013,Demo Channel 001,Demo Category 030,Winter,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
