Date,Campaign,SourceMedium,Sessions,TotalUsers,EngagedSessions,Purchases,PurchaseRevenue,GA4ConversionRate,GA4RevenuePerSession,EngagementRate,AnalysisStartDate,AnalysisEndDate
2026-01-01,Demo Campaign 021,(data not available),10.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 022,(direct) / (none),1934.0,1492.0,1569.0,38.0,90898.509895,0.0196483971044467,47.00026364788004,0.811271975180972,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 023,bing / organic,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 023,google / organic,2718.0,1535.0,2096.0,36.0,91347.88004699998,0.0132450331125827,33.60849155518763,0.7711552612214864,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,accounts.google.com / referral,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,adform / dpa,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,google / cpc,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,indirimkuponum.net / referral,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,instagram.com / referral,10.0,6.0,8.0,0.0,0.0,0.0,0.0,0.8,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,l.facebook.com / referral,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,l.instagram.com / referral,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.4,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,ya.ru / referral,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,yandex.com.tr / referral,12.0,6.0,10.0,0.0,0.0,0.0,0.0,0.8333333333333334,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 024,yandex.ru / referral,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 025,UNKNOWN,46.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0434782608695652,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 025,adform / dpa,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.6666666666666666,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 025,chatgpt.com / (not set),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 025,revotas / webpush,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 026,(not set) / WebPush,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 027,adform / cpc,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.75,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 028,facebook / cpc,13.0,5.0,7.0,0.0,0.0,0.0,0.0,0.5384615384615384,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 029,facebook / cpc,41.0,20.0,19.0,0.0,0.0,0.0,0.0,0.4634146341463415,2026-01-01,2026-01-31
2026-01-01,Demo Campaign 030,facebook / cpc,135.0,94.0,102.0,2.0,2119.599996,0.0148148148148148,15.700740711111113,0.7555555555555555,2026-01-01,2026-01-31
